knot,newton_converged,newton_termination,newton_iterations,newton_grad_norm,newton_relative_grad_norm,feasible_init_used,min_cone_margin,min_alpha,force_norm,certification_mode,selected_seed_mode,selected_objective,selected_grad_norm,selected_relative_grad_norm,selected_stationarity_passed,selected_min_cone_margin,selected_min_alpha,hessian_llt_success,hessian_eig_min,hessian_eig_max,hessian_condition,newton_decrement,newton_step_norm,action_velocity_mismatch,accepted_node_feasible,accepted_node_grad_norm,accepted_node_relative_grad_norm,accepted_node_stationarity_passed,cold_restart_converged,cold_restart_termination,cold_restart_iterations,cold_restart_grad_norm,cold_restart_relative_grad_norm,cold_restart_feasible_init_used,cold_restart_min_cone_margin,cold_restart_min_alpha,cold_restart_force_norm
20,1,direct,0,8.9857894108452558e-12,8.1976068712276947e-14,0,9.8475895389011889e-08,0.0003261782887127862,343.3727254528381,action_stationarity_plus_shooting_defect_v3,accepted_direct,-57.606634676843726,8.9857894108452558e-12,8.1976068712276947e-14,1,9.8475895389011889e-08,0.0003261782887127862,1,0.011292808203594381,52497.922639767989,4648792.549496985,4.3223153650158292e-14,8.0677517042347747e-14,0,1,8.9857894108452558e-12,8.1976068712276947e-14,1,1,step,13,2.8985383543754303e-08,2.6442949911186236e-10,0,9.8475894933280423e-08,0.00032617828805212024,343.37272643149726
21,1,direct,0,1.9354746248094591e-11,1.7567501407058494e-13,0,6.7452822018942586e-08,0.00026431922210901071,404.53382802011168,action_stationarity_plus_shooting_defect_v3,accepted_direct,-60.495417132217725,1.9354746248094591e-11,1.7567501407058494e-13,1,6.7452822018942586e-08,0.00026431922210901071,1,0.011300616875100596,68075.284609554496,6024032.613613273,7.868998424445861e-14,9.5761348632091055e-14,0,1,1.9354746248094591e-11,1.7567501407058494e-13,1,1,gradient,17,1.4287258110149463e-10,1.2967952342840367e-12,1,6.7452822018875922e-08,0.00026431922210898295,404.53382802144819
22,1,gradient,18,1.6345750555652967e-10,1.3503332366975841e-12,1,3.0811554384533114e-08,0.0001850878179474047,673.85682674669124,action_stationarity_plus_shooting_defect_v3,cold_refined,-73.790123423850943,1.6345750555652967e-10,1.3503332366975841e-12,1,3.0811554384533114e-08,0.0001850878179474047,1,0.011288683570046087,210771.67150503938,18671058.516008954,8.8914289762538471e-11,1.887588264320769e-10,4.0837972655963504e-10,1,5.7031722610279558e-07,4.7114282286699824e-09,1,1,gradient,18,1.6345750555652967e-10,1.3503332366975841e-12,1,3.0811554384533114e-08,0.0001850878179474047,673.85682674669124
23,1,direct,0,5.7256668523065905e-14,5.0776766088469793e-16,0,0.042516955388471445,0.24878510622820005,15.781952131440807,action_stationarity_plus_shooting_defect_v3,accepted_direct,-58.514048015515286,5.7256668523065905e-14,5.0776766088469793e-16,1,0.042516955388471445,0.24878510622820005,1,0.011295518036734615,166.64041292303489,14752.790653876769,7.6857665205144336e-15,2.2940422849382678e-14,0,1,5.7256668523065905e-14,5.0776766088469793e-16,1,1,gradient,12,9.8938667330691231e-11,8.7741492785798031e-13,1,0.042516955377365662,0.24878510622820135,15.78195213554736
24,1,gradient,6,3.7268991829361972e-09,3.4017191874310116e-11,0,0.046033244000348361,0.38131564651995697,14.089971211430175,action_stationarity_plus_shooting_defect_v3,cold_refined,-53.797767808895351,3.7268991829361972e-09,3.4017191874310116e-11,1,0.046033244000348361,0.38131564651995697,1,0.011293113050822067,133.57454309333843,11827.964750925348,3.59513130388723e-10,1.3501922636722662e-10,6.6810443338717597e-10,1,6.8395238915508298e-09,6.2427606741152897e-11,1,1,gradient,6,3.7268991829361972e-09,3.4017191874310116e-11,0,0.046033244000348361,0.38131564651995697,14.089971211430175
25,1,direct,0,7.5756604386450288e-14,6.996811595611657e-16,0,0.032669304789646247,0.21636210612855294,18.551185106324738,action_stationarity_plus_shooting_defect_v3,accepted_direct,-51.85092852531713,7.5756604386450288e-14,6.996811595611657e-16,1,0.032669304789646247,0.21636210612855294,1,0.011291292756139349,202.14118254552133,17902.394961428334,1.7285385396541384e-14,1.2257220451132718e-13,0,1,7.5756604386450288e-14,6.996811595611657e-16,1,1,gradient,8,1.103325358904671e-09,1.0190213417613013e-11,0,0.032669304704306512,0.21636210612857135,18.55118515449071
26,1,direct,0,4.263073071431887e-12,3.7347496524991403e-14,0,5.7261472942223164e-06,0.0059958891428625316,263.71593714160753,action_stationarity_plus_shooting_defect_v3,accepted_direct,-57.740467813049875,4.263073071431887e-12,3.7347496524991403e-14,1,5.7261472942223164e-06,0.0059958891428625316,1,0.011289713452245307,31230.597456737367,2766287.8769103037,3.7927151120914635e-14,7.956375843573431e-14,0,1,4.263073071431887e-12,3.7347496524991403e-14,1,1,gradient,11,9.0685147128474861e-12,7.9446520397349528e-14,0,5.7261472942121724e-06,0.005995889142862143,263.71593714168063
27,1,gradient,16,2.5907147303445805e-10,2.0907513010831119e-12,1,2.1099289374432296e-06,0.0041753533500047679,495.17252141279067,action_stationarity_plus_shooting_defect_v3,cold_refined,-66.302569781900644,2.5907147303445805e-10,2.0907513010831119e-12,1,2.1099289374432296e-06,0.0041753533500047679,1,0.011287664794542804,108292.04333492597,9593839.408420546,8.2637369497178106e-13,1.0793052042891561e-13,6.9346435757615565e-10,1,4.8331268038768077e-07,3.9004163734828144e-09,1,1,gradient,16,2.5907147303445805e-10,2.0907513010831119e-12,1,2.1099289374432296e-06,0.0041753533500047679,495.17252141279067
28,1,gradient,6,4.5834773436009205e-12,3.710279856479189e-14,0,0.0073402063314883048,0.11136657365976249,2.1299107209059254,action_stationarity_plus_shooting_defect_v3,cold_refined,-60.740825558945048,4.5834773436009205e-12,3.710279856479189e-14,1,0.0073402063314883048,0.11136657365976249,1,0.011287378294273813,35.657015135793301,3159.01657640751,2.4122648731561179e-12,1.0581160744426763e-11,4.4740252830634173e-09,1,9.1860144795820673e-09,7.4359884274913657e-11,1,1,gradient,6,4.5834773436009205e-12,3.710279856479189e-14,0,0.0073402063314883048,0.11136657365976249,2.1299107209059254
29,1,gradient,3,8.8591302743429838e-15,7.1924192127131719e-17,0,0.18517877610851563,0.53051052191127823,0.43533233713440783,action_stationarity_plus_shooting_defect_v3,cold_refined,-58.972658138337167,8.8591302743429838e-15,7.1924192127131719e-17,1,0.18517877610851563,0.53051052191127823,1,0.011287780942228164,33.97374813992954,3009.7809581715051,4.6183453036585143e-15,2.371635148953001e-14,5.1001936618638361e-10,1,2.4459910271524903e-09,1.9858148952846505e-11,1,1,gradient,3,8.8591302743429838e-15,7.1924192127131719e-17,0,0.18517877610851563,0.53051052191127823,0.43533233713440783
